Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3985.546875,3988.76953125,13604.0,13615.0,,
2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073.14453125,4075.1953125,13903.0,,,
2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13910.0,,
2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4154.296875,4157.51953125,14180.0,14191.0,,
2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4234.27734375,4237.20703125,14453.0,14463.0,,
2192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310.44921875,4312.5,14713.0,14720.0,,
2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382.51953125,4385.7421875,14959.0,14970.0,,
2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4452.24609375,,,,,
2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4454.296875,15197.0,15204.0,,
2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520.21484375,4523.14453125,15429.0,15439.0,,
2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584.9609375,4586.42578125,15650.0,15655.0,,
2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4645.8984375,4648.53515625,15858.0,15867.0,,
2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4705.6640625,4707.12890625,16062.0,16067.0,,
2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4761.62109375,4763.96484375,16253.0,16261.0,,
2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4816.40625,4818.75,16440.0,,,
2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16448.0,,
2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4868.5546875,4870.3125,16618.0,16624.0,,
2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919.23828125,4920.1171875,16791.0,16794.0,,
2414,,,,,,,,,,,,,,,,,,,,,,,-2.3499999046325684,,,,,,,,,,,4966.9921875,4969.62890625,16954.0,16963.0,,
2434,,,,,,,,,,,,,,,,,,,,,,,-2.3399999141693115,,,,,,,,,,,5013.8671875,5015.91796875,17114.0,17121.0,,
2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5058.10546875,5058.3984375,17265.0,17266.0,,
2474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5099.70703125,5102.34375,17407.0,17416.0,,
2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141.89453125,5143.9453125,17551.0,17558.0,,
2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5181.15234375,5181.73828125,17685.0,17687.0,,
2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5219.23828125,5219.53125,17815.0,17816.0,,
2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254.39453125,5257.32421875,17935.0,17945.0,,
2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291.30859375,5291.89453125,18061.0,18063.0,,
2595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5324.4140625,5325.0,18174.0,18176.0,,
2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5357.2265625,5358.10546875,18286.0,18289.0,,
2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5387.40234375,5388.8671875,18389.0,18394.0,,
2655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5417.87109375,5418.45703125,,,,
2656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18493.0,18495.0,,
2676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446.58203125,5448.33984375,18591.0,18597.0,,
2695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5474.4140625,5475.5859375,18686.0,18690.0,,
2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500.78125,5501.66015625,18776.0,18779.0,,
2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5527.734375,5528.90625,18868.0,18872.0,,
2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5552.9296875,5552.34375,18954.0,18952.0,,
2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5574.90234375,5574.609375,19029.0,19028.0,,
2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5597.4609375,5598.6328125,19106.0,19110.0,,
2818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5619.7265625,5621.77734375,,,,
2819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19182.0,19189.0,,
2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641.40625,,,,,
2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642.578125,19256.0,19260.0,,
2856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661.62109375,5663.0859375,19325.0,19330.0,,
2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5682.421875,5683.0078125,19396.0,19398.0,,
2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.87890625,5701.171875,19459.0,19460.0,,
2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719.04296875,5718.75,19521.0,19520.0,,
2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5736.328125,5736.328125,19580.0,19580.0,,
2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5753.61328125,5753.3203125,19639.0,19638.0,,
2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5769.140625,,,,,
2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5768.84765625,19692.0,19691.0,,
2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5784.9609375,5784.9609375,19746.0,19746.0,,
3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5799.609375,5799.90234375,19796.0,19797.0,,
3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813.37890625,5814.2578125,19843.0,19846.0,,
3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5827.1484375,5829.4921875,19890.0,19898.0,,
3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5841.50390625,5843.84765625,19939.0,19947.0,,
3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5855.56640625,5857.32421875,19987.0,19993.0,,
3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5868.45703125,5869.62890625,20031.0,20035.0,,
3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880.76171875,5881.93359375,20073.0,20077.0,,
3158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5892.7734375,5892.7734375,20114.0,20114.0,,
3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5903.90625,5903.3203125,20152.0,20150.0,,
3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5913.8671875,5913.57421875,20186.0,20185.0,,
3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5924.12109375,5923.53515625,20221.0,20219.0,,
3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5933.7890625,5932.91015625,20254.0,20251.0,,
3259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5943.1640625,5942.578125,20286.0,,,
3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20284.0,,
3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5951.953125,5952.24609375,20316.0,20317.0,,
3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5961.328125,5961.03515625,20348.0,20347.0,,
3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5969.82421875,5969.82421875,20377.0,20377.0,,
3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.3203125,5978.61328125,20406.0,20407.0,,
3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5986.5234375,5986.81640625,20434.0,20435.0,,
3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5994.43359375,5994.7265625,20461.0,20462.0,,
3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6002.05078125,6002.63671875,20487.0,20489.0,,
3420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6009.66796875,6009.9609375,20513.0,20514.0,,
3440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6016.9921875,6017.28515625,20538.0,20539.0,,
3460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6024.0234375,6024.0234375,20562.0,20562.0,,
3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6030.76171875,6030.76171875,20585.0,20585.0,,
3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6036.9140625,6037.20703125,20606.0,20607.0,,
3520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6042.7734375,6043.06640625,20626.0,20627.0,,
3541,,,,,,,,,,,,,,,,,,,,,,,-2.3499999046325684,,,,,,,,,,,6048.33984375,6048.92578125,20645.0,20647.0,,
3560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6053.61328125,6054.78515625,20663.0,20667.0,,
3580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6059.1796875,6060.05859375,20682.0,20685.0,,
3602,,,,,,,,,,,,,,,,,,,,,,,-2.3399999141693115,,,,,,,,,,,6063.8671875,6065.0390625,20698.0,20702.0,,
3622,,,,,,,,,,,,,,,,,,,,,,,-2.3499999046325684,,,,,,,,,,,6069.140625,6070.3125,20716.0,20720.0,,
3642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6073.828125,6074.70703125,20732.0,20735.0,,
3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6078.80859375,6079.1015625,20749.0,20750.0,,
3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6083.203125,6083.49609375,20764.0,20765.0,,
3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6088.4765625,6087.890625,,,,
3702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20782.0,20780.0,,
3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6097.55859375,6096.6796875,20813.0,20795.0,,
3741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6101.66015625,6100.78125,20827.0,20824.0,,
3762,,,,,,,,,,,,,,,,,,,,,,,-2.3399999141693115,,,,,,,,,,,6105.76171875,6104.8828125,20841.0,20838.0,,
